"id","bulletinNumber","bulletinDateMonth","bulletinDate","componentNumber","componentDescription","nhtsaItemNumber","modelYearId","summaryText"
23214,"210998","9810","1998-10-01",103400,"POWER TRAIN:AUTOMATIC TRANSMISSION:LEVER AND LINKAGE:COLUMN SHIFT","602337",2006,"A THUMPING OR CREAKING NOISE MAY BE HEARD COMING FROM THE TRANSMISSION TUNNEL AREA ON ACCELERATION OR WHILE DRIVING OVER BUMPY ROADS.   ( NHTSA ITEM NUMBER - 602337 )"
23218,"250298","9810","1998-10-01",63000,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM","602881",2006,"SUBJECT REGARDING I/M ( INSPECTION MAINTENANCE ) TESTING - OBD II ""CARB"" READINESS MONITOR INFORMATION.   ( NHTSA ITEM NUMBER - 602881 )"
103408,"183298","9809","1998-09-01",162000,"STRUCTURE:BODY","603635",2006,"SUBJECT ON FLASH PROGRAMMING FAILURE RECOVERY.   ( NHTSA ITEM NUMBER - 603635 )"
23200,"050398","9808","1998-08-01",34530,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:ROTOR","602194",2006,"EXHIBITING MINOR BRAKE PEDAL PULSTION WHICH MAY BE CAUSED BY ROUGH DISC ROTORS.   ( NHTSA ITEM NUMBER - 602194 )"
23209,"182898","9808","1998-08-01",63000,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM","602198",2006,"ERRONEOUS MIL WITH DTC $71(PO441) -EVAP PURGE FLOW MONITOR FAILURE DUE TO INAPPROPRIATE FUEL LEVEL READINGS DURING THE TEST SEQUENCE.   ( NHTSA ITEM NUMBER - 602198 )"
103415,"233698","9808","1998-08-01",162000,"STRUCTURE:BODY","602206",2006,"INFORMATION TO ASSIST IN IDENTIFYING WATER LEAK ENTRY POINTS BY HIGHLIGHTING AREAS WHERE LEAKS ARE LIKELY TO OCCUR BASED ON THE EXPERIENCE GAINED DURING THE DEVELOPMENT OF THE VEHICLE.   ( NHTSA ITEM NUMBER - 602206 )"
23204,"110798","9807","1998-07-01",63200,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:MANIFOLD/HEADER/MUFFLER/TAIL PIPE","602327",2006,"THE OUTER EXHAUST MANIFOLD STUDS MAY FATIGUE AND BREAK.   ( NHTSA ITEM NUMBER - 602327 )"
23210,"190498","9807","1998-07-01",11000,"STEERING:WHEEL AND HANDLE BAR","602338",2006,"A SQUAWKING OR SCRAPPING NOISE COMING FROM THE STEERING COLUMN WHICH MAY BE CONFUSED WITH CLOCK SPRING OR STEERING COLUMN BEARING NOISE.   ( NHTSA ITEM NUMBER - 602338 )"
103388,"030598","9807","1998-07-01",105100,"POWER TRAIN:DRIVELINE:UNIVERSAL JOINT","602319",2006,"A CLICKING NOISE MAY BE PRESENT WHEN CHANGING FROM A FORWARD GEAR TO REVERSE DUE TO POOR FITTING UNIVERSAL JOINT RETAINING STRAPS.   ( NHTSA ITEM NUMBER - 602319 )"
103399,"083398","9807","1998-07-01",145000,"AIR BAGS:ON-OFF SWITCH ASSEMBLY","602315",2006,"INFORMATION  ON  PASSENGER'S AIR BAG ON/OFF SWITCH WHICH IS LOCATED ON FORWARD END OF FLOOR CONSOLE, AND ALLOWS PASSENGER'S SIDE AIR BAG  ON/OFF SWITCH  TO BE DISABLED WHEN CERTAIN CHILD  RESTRAINT DEVICES ARE USED IN THE PASSENGER'S SEATIN   ( NHTSA ITEM NUMBER - 602315 )"
103414,"233198","9807","1998-07-01",162800,"STRUCTURE:BODY:HOOD","602331",2006,"A SQUEAK OR BUZZ COMING FROM THE HOOD OF THE VEHICLE.   ( NHTSA ITEM NUMBER - 602331 )"
103405,"182198","9806","1998-06-01",116200,"ELECTRICAL SYSTEM:IGNITION:MODULE","601583",2006,"SERVICE CAUTION ON POWERTRAIN CONTROL MODULE ( PCM ).   ( NHTSA ITEM NUMBER - 601583 )"
103406,"182298","9806","1998-06-01",120000,"EXTERIOR LIGHTING","601582",2006,"INFORMATION ON THE OBD II MISFIRE MONTIOR.   ( NHTSA ITEM NUMBER - 601582 )"
103424,"980320240398","9806","1998-06-01",138000,"VISIBILITY:DEFROSTER/DEFOGGER SYSTEM","600888",2006,"A SQUEAKING NOISE MAY BE HEARD WHEN THE SYSTEM MODE IS CHANGED FROM FLOOR TO PANEL OR DEFROST.   ( NHTSA ITEM NUMBER - 600888 )"
103397,"08298","9805","1998-05-01",114200,"ELECTRICAL SYSTEM:WIRING:INTERIOR/UNDER DASH","601676",2006,"ERRATIC INSTRUMENT PANEL CLUSTER OPERATION / INTERMITTENT AIR BAG WARNING LIGHT.   ( NHTSA ITEM NUMBER - 601676 )"
103413,"232198","9805","1998-05-01",220000,"SEATS","601660",2006,"A SQUEAKING NOISE HEARD IN THE FRONT SEAT.   ( NHTSA ITEM NUMBER - 601660 )"
103394,"081698","9804","1998-04-01",353400,"EQUIPMENT:ELECTRICAL:RADIO/TAPE DECK/CD ETC.","600862",2006,"INFORMATION ON INSTALLATION OF RADIO TRANSMITTING EQUIPMENT.   ( NHTSA ITEM NUMBER - 600862 )"
23215,"230998","9803","1998-03-01",22000,"SUSPENSION:REAR","600894",2006,"A RATTLING OR KNOCKING NOISE MAY BE PRESENT WHEN DRIVING OVER ROUGH ROADS, NOISE WAS COMING FROM REAR OF VEHICLE.   ( NHTSA ITEM NUMBER - 600894 )"
23216,"240398","9803","1998-03-01",34530,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:ROTOR","600808",2006,"A SQUEAKING NOISE MAY BE PRESENT WHEN THE SYSTEM MODE IS CHANGED FROM FLOOR TO PANEL HEATING.   ( NHTSA ITEM NUMBER - 600808 )"
23220,"9807","9802","1998-02-01",61000,"ENGINE AND ENGINE COOLING:ENGINE","600389",2006,"SOME VEHICLES HAVE INCORRECT DIPSTICK INSTALLATION.   ( NHTSA ITEM NUMBER - 600389 )"
23219,"980130183197","9801","1998-01-01",61000,"ENGINE AND ENGINE COOLING:ENGINE","54178",2006,"SUBJECT PERTAINING TO OBD II MISFIRE MONITOR.   ( NHTSA ITEM NUMBER - 54178 )"
103407,"183197","9801","1998-01-01",114200,"ELECTRICAL SYSTEM:WIRING:INTERIOR/UNDER DASH","6089145",2006,"CONDITIONS ON OBD II MISFIRE MONITOR.   ( NHTSA ITEM NUMBER - 6089145 )"
103409,"183697","9712","1997-12-01",114200,"ELECTRICAL SYSTEM:WIRING:INTERIOR/UNDER DASH","6089148",2006,"CONCERNS ON INCORRECT FAULT MATURE TIME - DTC $B7 LEAK DETECTION PUMP SOLENOID CIRCUIT.   ( NHTSA ITEM NUMBER - 6089148 )"
23206,"140897","9711","1997-11-01",70000,"FUEL SYSTEM, GASOLINE","6088884",2006,"INFORMATION ON POOR DRIVABILITY WITH HIGH DI (DRIVABILITY INDEX) FUEL.   ( NHTSA ITEM NUMBER - 6088884 )"
103421,"241397","9710","1997-10-01",353600,"EQUIPMENT:ELECTRICAL:AIR CONDITIONER","6089130",2006,"INFORMATION ON A/C REFRIGERANT LEAKS.   ( NHTSA ITEM NUMBER - 6089130 )"
103398,"0832097","9709","1997-09-01",110000,"ELECTRICAL SYSTEM","6088834",2006,"INFORMATION REGARDING NHTSA AUTHORIZED AIRBAG DEACTIVATION FOR MEDICAL NECESSITY.   ( NHTSA ITEM NUMBER - 6088834 )"
103423,"970919083297","9709","1997-09-01",140000,"AIR BAGS","54423",2006,"AUTHORIZED AIRBAG DEACTIVATION FOR MEDICAL NECESSITY.   ( NHTSA ITEM NUMBER - 54423 )"
103420,"241197","9707","1997-07-01",353600,"EQUIPMENT:ELECTRICAL:AIR CONDITIONER","6089311",2006,"CONCERNS WITH A/C EVAPORATOR ODOR.   ( NHTSA ITEM NUMBER - 6089311 )"
183638,"KT-200808220","808","2008-08-01",53000,"PARKING BRAKE:INDICATOR LIGHT","10026726",2007,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
183639,"KT-200808220","808","2008-08-01",123000,"EXTERIOR LIGHTING:TAIL LIGHTS","10026726",2007,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
183640,"KT-200808220","808","2008-08-01",125000,"EXTERIOR LIGHTING:BRAKE LIGHTS","10026726",2007,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
183675,"KT-200808220","808","2008-08-01",53000,"PARKING BRAKE:INDICATOR LIGHT","10026726",2008,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
183676,"KT-200808220","808","2008-08-01",123000,"EXTERIOR LIGHTING:TAIL LIGHTS","10026726",2008,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
183677,"KT-200808220","808","2008-08-01",125000,"EXTERIOR LIGHTING:BRAKE LIGHTS","10026726",2008,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
103426,"027","212","2002-12-01",151400,"SEAT BELTS:FRONT:BUCKLE ASSEMBLY","10000032",2008,"RECALL CAMPAIGN 027 TO REPLACE FRONT SEAT BELT BUCKLES.   NOTIFICATION LETTER TO DEALERS.   ( NHTSA ITEM NUMBER - 10000032 )"
103427,"027","212","2002-12-01",151400,"SEAT BELTS:FRONT:BUCKLE ASSEMBLY","10000033",2008,"THIS BULLETIN PROVIDED INFORMATION RELATED TO RECALL CAMPAIGN 027 TO REPLACE THE FRONT SEAT BELT BUCKLES.   ( NHTSA ITEM NUMBER - 10000033 )"
23221,"003","9910","1999-10-01",103000,"POWER TRAIN:AUTOMATIC TRANSMISSION","609808",2008,"THIS TECHINICAL SERVICE BULLETIN OUTLINES THE NEW SEPHIA REMANUFACTURED AUTOMATIC TRANSMISSION PROGRAM.   ( NHTSA ITEM NUMBER - 609808 )"
23222,"008","9907","1999-07-01",63100,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:EMISSION CONTROL","608137",2008,"RECALL CAMPAGIN ON EVAPORATIVE FUEL VAPOR HOSE REPLACEMENT FOR VEHICLES EQUIPPED WITH 1.8 LITER BPD ENGINES.   ( NHTSA ITEM NUMBER - 608137 )"
23223,"008","9907","1999-07-01",63100,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:EMISSION CONTROL","607703",2008,"REPLACEMENT REPAIRS OF ALL EVAPORATIVE FUEL VAPOR HOSES AND PIPES AT THE FUEL TANK.   ( NHTSA ITEM NUMBER - 607703 )"
103425,"002","9702","1997-02-01",353600,"EQUIPMENT:ELECTRICAL:AIR CONDITIONER","52287",2008,"A/C SUCTION HOSE.   ( NHTSA ITEM NUMBER - 52287 )"
183785,"KT-200808220","808","2008-08-01",53000,"PARKING BRAKE:INDICATOR LIGHT","10026726",2009,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
183786,"KT-200808220","808","2008-08-01",123000,"EXTERIOR LIGHTING:TAIL LIGHTS","10026726",2009,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
183787,"KT-200808220","808","2008-08-01",125000,"EXTERIOR LIGHTING:BRAKE LIGHTS","10026726",2009,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
103429,"027","212","2002-12-01",151400,"SEAT BELTS:FRONT:BUCKLE ASSEMBLY","10000032",2009,"RECALL CAMPAIGN 027 TO REPLACE FRONT SEAT BELT BUCKLES.   NOTIFICATION LETTER TO DEALERS.   ( NHTSA ITEM NUMBER - 10000032 )"
103430,"027","212","2002-12-01",151400,"SEAT BELTS:FRONT:BUCKLE ASSEMBLY","10000033",2009,"THIS BULLETIN PROVIDED INFORMATION RELATED TO RECALL CAMPAIGN 027 TO REPLACE THE FRONT SEAT BELT BUCKLES.   ( NHTSA ITEM NUMBER - 10000033 )"
23224,"003","9910","1999-10-01",103000,"POWER TRAIN:AUTOMATIC TRANSMISSION","609808",2009,"THIS TECHINICAL SERVICE BULLETIN OUTLINES THE NEW SEPHIA REMANUFACTURED AUTOMATIC TRANSMISSION PROGRAM.   ( NHTSA ITEM NUMBER - 609808 )"
23226,"008","9907","1999-07-01",63100,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:EMISSION CONTROL","608137",2009,"RECALL CAMPAGIN ON EVAPORATIVE FUEL VAPOR HOSE REPLACEMENT FOR VEHICLES EQUIPPED WITH 1.8 LITER BPD ENGINES.   ( NHTSA ITEM NUMBER - 608137 )"
23227,"008","9907","1999-07-01",63100,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:EMISSION CONTROL","607703",2009,"REPLACEMENT REPAIRS OF ALL EVAPORATIVE FUEL VAPOR HOSES AND PIPES AT THE FUEL TANK.   ( NHTSA ITEM NUMBER - 607703 )"
23225,"004","9703","1997-03-01",34520,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:PADS","52442",2009,"SEPHIA FRONT BRAKE PADS - DESIGN CHANGE.   ( NHTSA ITEM NUMBER - 52442 )"
103428,"002","9702","1997-02-01",353600,"EQUIPMENT:ELECTRICAL:AIR CONDITIONER","52287",2009,"A/C SUCTION HOSE.   ( NHTSA ITEM NUMBER - 52287 )"
183730,"KT-200808220","808","2008-08-01",53000,"PARKING BRAKE:INDICATOR LIGHT","10026726",2010,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
183731,"KT-200808220","808","2008-08-01",123000,"EXTERIOR LIGHTING:TAIL LIGHTS","10026726",2010,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
183732,"KT-200808220","808","2008-08-01",125000,"EXTERIOR LIGHTING:BRAKE LIGHTS","10026726",2010,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
23229,"76","401","2004-01-01",92100,"FUEL SYSTEM, OTHER:DELIVERY:FUEL PUMP","10015753",2010,"FUEL PUMP RELAYS & EMISSIONS FAILURES.  KIA TECHNICIAN TIMES.   ( NHTSA ITEM NUMBER - 10015753 )"
103431,"027","212","2002-12-01",151400,"SEAT BELTS:FRONT:BUCKLE ASSEMBLY","10000032",2010,"RECALL CAMPAIGN 027 TO REPLACE FRONT SEAT BELT BUCKLES.   NOTIFICATION LETTER TO DEALERS.   ( NHTSA ITEM NUMBER - 10000032 )"
103432,"027","212","2002-12-01",151400,"SEAT BELTS:FRONT:BUCKLE ASSEMBLY","10000033",2010,"THIS BULLETIN PROVIDED INFORMATION RELATED TO RECALL CAMPAIGN 027 TO REPLACE THE FRONT SEAT BELT BUCKLES.   ( NHTSA ITEM NUMBER - 10000033 )"
23228,"33000003","6","2000-06-01",17600,"STEERING:LINKAGES:KNUCKLE:SPINDLE:ARM","614028",2010,"SUBJECT REGARDING STEERING KNUCKLE REPLACEMENT.   ( NHTSA ITEM NUMBER - 614028 )"
183797,"KT-200808220","808","2008-08-01",53000,"PARKING BRAKE:INDICATOR LIGHT","10026726",2011,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
183798,"KT-200808220","808","2008-08-01",123000,"EXTERIOR LIGHTING:TAIL LIGHTS","10026726",2011,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
183799,"KT-200808220","808","2008-08-01",125000,"EXTERIOR LIGHTING:BRAKE LIGHTS","10026726",2011,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
23231,"76","401","2004-01-01",92100,"FUEL SYSTEM, OTHER:DELIVERY:FUEL PUMP","10015753",2011,"FUEL PUMP RELAYS & EMISSIONS FAILURES.  KIA TECHNICIAN TIMES.   ( NHTSA ITEM NUMBER - 10015753 )"
103433,"027","212","2002-12-01",151400,"SEAT BELTS:FRONT:BUCKLE ASSEMBLY","10000032",2011,"RECALL CAMPAIGN 027 TO REPLACE FRONT SEAT BELT BUCKLES.   NOTIFICATION LETTER TO DEALERS.   ( NHTSA ITEM NUMBER - 10000032 )"
103434,"027","212","2002-12-01",151400,"SEAT BELTS:FRONT:BUCKLE ASSEMBLY","10000033",2011,"THIS BULLETIN PROVIDED INFORMATION RELATED TO RECALL CAMPAIGN 027 TO REPLACE THE FRONT SEAT BELT BUCKLES.   ( NHTSA ITEM NUMBER - 10000033 )"
23230,"33000003","6","2000-06-01",17600,"STEERING:LINKAGES:KNUCKLE:SPINDLE:ARM","614028",2011,"SUBJECT REGARDING STEERING KNUCKLE REPLACEMENT.   ( NHTSA ITEM NUMBER - 614028 )"
183535,"KT-200808220","808","2008-08-01",53000,"PARKING BRAKE:INDICATOR LIGHT","10026726",2012,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
183536,"KT-200808220","808","2008-08-01",123000,"EXTERIOR LIGHTING:TAIL LIGHTS","10026726",2012,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
183537,"KT-200808220","808","2008-08-01",125000,"EXTERIOR LIGHTING:BRAKE LIGHTS","10026726",2012,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
175359,"014","801","2008-01-01",71100,"FUEL SYSTEM, GASOLINE:STORAGE:TANK ASSEMBLY","10024232",2012,"FUEL TANK REPLACEMENT UNDER REPAIR BENEFIT PROGRAM.   ON CERTAIN 1997-2000 SPORTAGES.   ( NHTSA ITEM NUMBER - 10024232 )"
23233,"76","401","2004-01-01",92100,"FUEL SYSTEM, OTHER:DELIVERY:FUEL PUMP","10015753",2012,"FUEL PUMP RELAYS & EMISSIONS FAILURES.  KIA TECHNICIAN TIMES.   ( NHTSA ITEM NUMBER - 10015753 )"
103435,"027","212","2002-12-01",151400,"SEAT BELTS:FRONT:BUCKLE ASSEMBLY","10000032",2012,"RECALL CAMPAIGN 027 TO REPLACE FRONT SEAT BELT BUCKLES.   NOTIFICATION LETTER TO DEALERS.   ( NHTSA ITEM NUMBER - 10000032 )"
103436,"027","212","2002-12-01",151400,"SEAT BELTS:FRONT:BUCKLE ASSEMBLY","10000033",2012,"THIS BULLETIN PROVIDED INFORMATION RELATED TO RECALL CAMPAIGN 027 TO REPLACE THE FRONT SEAT BELT BUCKLES.   ( NHTSA ITEM NUMBER - 10000033 )"
23232,"33000003","6","2000-06-01",17600,"STEERING:LINKAGES:KNUCKLE:SPINDLE:ARM","614028",2012,"SUBJECT REGARDING STEERING KNUCKLE REPLACEMENT.   ( NHTSA ITEM NUMBER - 614028 )"
183870,"KT-200808220","808","2008-08-01",53000,"PARKING BRAKE:INDICATOR LIGHT","10026726",2013,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
183871,"KT-200808220","808","2008-08-01",123000,"EXTERIOR LIGHTING:TAIL LIGHTS","10026726",2013,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
183872,"KT-200808220","808","2008-08-01",125000,"EXTERIOR LIGHTING:BRAKE LIGHTS","10026726",2013,"KIA: ALL MODELS. ARTICLE PROVIDES INFORMATION RELATING TO THE IMPROVED DURABILITY OF BULB LIFE FOR REAR COMBINATION BULB; REAR STOP LAMP/TAIL LAMP BULB UTILIZED ON MULTIPLE KIA MODELS.   ( NHTSA ITEM NUMBER - 10026726 )"
175360,"014","801","2008-01-01",71100,"FUEL SYSTEM, GASOLINE:STORAGE:TANK ASSEMBLY","10024232",2013,"FUEL TANK REPLACEMENT UNDER REPAIR BENEFIT PROGRAM.   ON CERTAIN 1997-2000 SPORTAGES.   ( NHTSA ITEM NUMBER - 10024232 )"
23235,"76","401","2004-01-01",92100,"FUEL SYSTEM, OTHER:DELIVERY:FUEL PUMP","10015753",2013,"FUEL PUMP RELAYS & EMISSIONS FAILURES.  KIA TECHNICIAN TIMES.   ( NHTSA ITEM NUMBER - 10015753 )"
103438,"027","212","2002-12-01",151400,"SEAT BELTS:FRONT:BUCKLE ASSEMBLY","10000032",2013,"RECALL CAMPAIGN 027 TO REPLACE FRONT SEAT BELT BUCKLES.   NOTIFICATION LETTER TO DEALERS.   ( NHTSA ITEM NUMBER - 10000032 )"
103439,"027","212","2002-12-01",151400,"SEAT BELTS:FRONT:BUCKLE ASSEMBLY","10000033",2013,"THIS BULLETIN PROVIDED INFORMATION RELATED TO RECALL CAMPAIGN 027 TO REPLACE THE FRONT SEAT BELT BUCKLES.   ( NHTSA ITEM NUMBER - 10000033 )"
103437,"007R","103","2001-03-01",107000,"POWER TRAIN:AXLE HUBS","619141",2013,"THIS BULLETIN PROVIDES INFORMATION ON A CHANGE TO THE SPORTAGE 4WD HUB SEALS.   ( NHTSA ITEM NUMBER - 619141 )"
23234,"016","9","2000-09-01",63140,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:EMISSION CONTROL:CATALYTIC CONVERTOR","615644",2013,"EMISSIONS RECALL CAMPAIGN:   MANIFOLD CATALYTIC CONVERTER REPLACEMENT.   ( NHTSA ITEM NUMBER - 615644 )"
103440,"98020100498","9806","1998-06-01",162000,"STRUCTURE:BODY","600994",2013,"PROVIDED INFORMATION RELATED TO THE KIA MOTORS AMERICA TECHNICAL ASSISTANCE CENTER AND THE TECH LINE WORKSHEET.   ( NHTSA ITEM NUMBER - 600994 )"
103443,"190198NAS","9904","1999-04-01",116000,"ELECTRICAL SYSTEM:IGNITION","605043",2014,"PROVIDED INFORMATION TO ASSIST IN DIAGNOSING IGNITION LEAD FAULTS AND IGNITION RELATED ISSUES.   ( NHTSA ITEM NUMBER - 605043 )"
103442,"190198NAS","9805","1998-05-01",116000,"ELECTRICAL SYSTEM:IGNITION","601617",2014,"PROVIDED INFORMATION TO ASSIST IN DIAGNOSING IGNITION LEAD FAULTS AND SUMMARIZES.   ( NHTSA ITEM NUMBER - 601617 )"
23236,"51/04/96US","9612","1996-12-01",21600,"SUSPENSION:FRONT:WHEEL BEARING","50559",2014,"NEW TORQUE SETTING - HUB NUT.   ( NHTSA ITEM NUMBER - 50559 )"
103441,"19/07/96","9612","1996-12-01",116000,"ELECTRICAL SYSTEM:IGNITION","50659",2014,"PRIDE - 14CUX COIL CONNECTIONS.   ( NHTSA ITEM NUMBER - 50659 )"
23238,"370103","306","2003-06-01",102000,"POWER TRAIN:MANUAL TRANSMISSION","10001637",2015,"OIL SEEPAGE FROM MANUAL TRANSMISSION FRONT COVER.   IMPROVED MANUAL TRANSMISSION SEALING.   ( NHTSA ITEM NUMBER - 10001637 )"
103446,"190198NAS","9904","1999-04-01",116000,"ELECTRICAL SYSTEM:IGNITION","605043",2015,"PROVIDED INFORMATION TO ASSIST IN DIAGNOSING IGNITION LEAD FAULTS AND IGNITION RELATED ISSUES.   ( NHTSA ITEM NUMBER - 605043 )"
103447,"600197","9808","1998-08-01",162000,"STRUCTURE:BODY","602375",2015,"FRONT SWIVEL SEAL REPLACEMENT AND GREASE FILL.   ( NHTSA ITEM NUMBER - 602375 )"
103445,"190198NAS","9805","1998-05-01",116000,"ELECTRICAL SYSTEM:IGNITION","601617",2015,"PROVIDED INFORMATION TO ASSIST IN DIAGNOSING IGNITION LEAD FAULTS AND SUMMARIZES.   ( NHTSA ITEM NUMBER - 601617 )"
23240,"60/01/97/NAS","9704","1997-04-01",20000,"SUSPENSION","52221",2015,"FRONT SWIVEL SEAT SEAL REPLACEMENT AND GREASE FILL.   ( NHTSA ITEM NUMBER - 52221 )"
23237,"19/01/97/US","9701","1997-01-01",61000,"ENGINE AND ENGINE COOLING:ENGINE","52189",2015,"DEFENDER 90 COLD START ENHANCEMENT.   ( NHTSA ITEM NUMBER - 52189 )"
